TOT_OA_CD,ADM_CD,Admin,Abs_mean,dRL_mean,dNB_mean,SAVI,DEM,Elderly_Ratio,Old_housing_Ratio,cx,cy,Z_Abs,Z_Elderly,Z_dNB,Z_Old,Z_dRL,Track1_Score,Track2_Score
24040831010001,24040831.0,중흥동,43.1505,0.76974,-0.00413,0.13696,39.435,23.9,2.4,946167.42,1686274.8,1.08577,0.0376,-0.22019,0.73522,-0.01688,1.12337,0.49815
24040510020002,24040510.0,용봉동,44.8812,1.85795,0.02266,0.14199,42.504,31.8,2.0,946567.42,1685274.8,1.71105,0.50066,1.27087,0.50426,0.60457,2.21171,2.3797
24040810010004,24040810.0,건국동,40.8377,0.96923,0.00069,0.21107,48.489,8.299999999999999,3.0,943429.92,1691124.8,0.25018,-0.87679,0.04808,1.08164,0.09705,-0.62661,1.22677
24040630010003,24040630.0,24040630,43.1807,-0.87369,-0.00062,0.14912,62.868,34.6,1.8,948102.42,1685389.8,1.09668,0.66478,-0.02483,0.38879,-0.95539,1.76146,-0.59143
24040810010303,24040810.0,건국동,38.3092,0.47347,0.02046,0.21288,42.392,12.1,0.0,943742.42,1691649.8,-0.66334,-0.65405,1.14842,-0.65049,-0.18607,-1.31739,0.31186
24040570020004,24040570.0,임동,42.5556,2.52774,0.01654,0.18013,48.76,15.1,1.2,944392.42,1687349.8,0.87084,-0.47821,0.93025,0.04236,0.98706,0.39263,1.95967
24040570010201,24040570.0,임동,40.9502,2.47191,0.0304,0.17383,63.726,23.9,0.5,944742.42,1688049.8,0.29082,0.0376,1.70166,-0.3618,0.95518,0.32842,2.29504
24040660020304,24040660.0,24040660,38.0715,-1.1352,0.01519,0.27236,56.038,30.0,0.3,946892.42,1687399.8,-0.74922,0.39515,0.85511,-0.47728,-1.10473,-0.35407,-0.7269
24040650010008,24040650.0,24040650,32.5672,1.18388,-0.01497,0.51759,123.293,15.299999999999969,4.10000000000001,948308.09,1688937.11,-2.73787,-0.46648,-0.82352,1.71676,0.21963,-3.20435,1.11287
24040570020002,24040570.0,임동,44.5033,2.59254,0.01164,0.14449,35.403,7.5,1.8000000000000005,945151.51,1687531.62,1.57452,-0.92368,0.65752,0.38879,1.02407,0.65084,2.07038
24040570040003,24040570.0,임동,42.655,2.45869,0.0093,0.11187,42.475,4.8,1.9,945692.42,1687499.8,0.90675,-1.08194,0.52729,0.44653,0.94763,-0.17519,1.92145
24040800020006,24040800.0,양산동,40.3421,0.31794,-0.00271,0.27813,44.829,23.5,3.1,942842.42,1690499.8,0.07112,0.01416,-0.14116,1.13938,-0.27489,0.08528,0.72333
24040670010004,24040670.0,24040670,44.7544,2.68698,0.00834,0.13478,51.086,30.2,1.2,948042.42,1686249.8,1.66524,0.40688,0.47385,0.04236,1.078,2.07212,1.59421
24040700040501,24040700.0,삼각동,42.2141,2.63775,0.02144,0.14248,50.516,52.4,0.5,945442.42,1688849.8,0.74746,1.70813,1.20297,-0.3618,1.04989,2.45559,1.89106
24040560020002,24040560.0,신안동,43.731,2.02386,0.00757,0.15381,33.143,56.4,4.8,945242.42,1686199.8,1.2955,1.94258,0.431,2.12092,0.69931,3.23808,3.25123
24040630010005,24040630.0,24040630,42.461,1.69474,0.00415,0.22155,57.749,24.399999999999995,2.2,947498.67,1685993.55,0.83666,0.06691,0.24065,0.61974,0.51136,0.90357,1.37175
24040600010302,24040600.0,24040600,39.0498,2.42989,0.01892,0.22956,39.75,15.6,0.0,943342.42,1687699.8,-0.39577,-0.4489,1.06271,-0.65049,0.93118,-0.84467,1.3434
24040510020101,24040510.0,용봉동,41.4058,-0.34058,0.01833,0.20617,39.315,9.2,0.0,946609.09,1685716.47,0.45543,-0.82403,1.02987,-0.65049,-0.65095,-0.3686,-0.27157
24040620010012,24040620.0,24040620,41.5872,0.59286,0.01015,0.13793,60.238,34.4,1.3,947842.42,1687099.8,0.52097,0.65306,0.57459,0.1001,-0.11789,1.17403,0.5568
24040590030004,24040590.0,24040590,44.0669,3.18089,0.01582,0.1376,30.354,32.7,2.0,944199.56,1686335.51,1.41686,0.55341,0.89017,0.50426,1.36006,1.97027,2.75449
24040560010005,24040560.0,신안동,43.8974,1.8832,0.0013,0.13548,35.982,17.6,2.5,945492.42,1686224.8,1.35562,-0.33167,0.08203,0.79295,0.61899,1.02395,1.49397
24040820050204,24040820.0,신용동,39.9577,1.60368,0.02169,0.28653,46.408,6.4,0.5,942642.42,1691049.8,-0.06776,-0.98816,1.21688,-0.3618,0.45936,-1.05592,1.31444
24040680010005,24040680.0,두암2동,44.0459,1.01614,0.00937,0.12798,58.562,28.7,1.9,948292.42,1686449.8,1.40927,0.31895,0.53118,0.44653,0.12384,1.72822,1.10155
24040570040005,24040570.0,임동,40.7458,3.08334,-0.00864,0.19112,53.042,9.1,5.0,945942.42,1687549.8,0.21698,-0.8299,-0.47121,2.23639,1.30435,-0.61292,3.06953
24040700020306,24040700.0,삼각동,40.9115,2.22556,0.02408,0.1429,55.0,28.5,0.4,945342.42,1688949.8,0.27684,0.30723,1.3499,-0.41954,0.8145,0.58407,1.74486
24040640010002,24040640.0,문흥동,41.6392,-0.40571,0.0042,0.13172,63.049,25.2,1.9,947809.09,1687283.13,0.53975,0.1138,0.24343,0.44653,-0.68814,0.65355,0.00182
24040560010002,24040560.0,신안동,43.8161,2.1825,0.0091,0.12954,34.362,25.4,2.3,945492.42,1686349.8,1.32624,0.12553,0.51615,0.67748,0.78991,1.45177,1.98354
24040700040004,24040700.0,삼각동,41.5182,2.99717,0.02273,0.12145,47.627,6.7,2.1,945475.75,1688983.13,0.49604,-0.97057,1.27476,0.562,1.25514,-0.47453,3.0919
24040650010007,24040650.0,24040650,40.9205,1.76396,0.01178,0.19483,81.653,27.399999999999995,1.5,947342.42,1688449.8,0.28009,0.24276,0.66532,0.21558,0.55089,0.52285,1.43179
