id,left,top,right,bottom,row_index,col_index,LST20_mean,LST25_mean,dLST_mean,dNDBI_mean,SAVI20_mea,SAVI25_mea,dSAVI,DEM_mean
1165,940092.4194,1687499.8,940192.4194,1687399.8,86,7,-1.626736636,-4.787109892,-3.160373271,0.00465122,0.135708472,0.137016393,0.001307921,15.8
1166,940092.4194,1687399.8,940192.4194,1687299.8,87,7,-0.104535639,-4.58415401,-4.479618371,-0.061175354,0.333998696,0.432830274,0.098831578,17.175
1167,940092.4194,1687299.8,940192.4194,1687199.8,88,7,1.790911504,1.276696312,-0.514215173,-0.044417611,0.484183484,0.566207713,0.082024229,17.475
1168,940092.4194,1687199.8,940192.4194,1687099.8,89,7,1.954935288,2.330895042,0.37595976,-0.016784584,0.511237059,0.521109115,0.009872055,18.675
1259,940192.4194,1693499.8,940292.4194,1693399.8,26,8,4.955130895,0.729834482,-8.135285854,0.204612736,0.656855732,0.13616422,-0.520691513,38.91666667
1266,940192.4194,1692799.8,940292.4194,1692699.8,33,8,6.217478871,1.131324321,-5.086154699,-0.011721019,0.266072095,0.311907617,0.045835522,30.67213115
1267,940192.4194,1692699.8,940292.4194,1692599.8,34,8,6.043851654,1.160224135,-4.883627494,-0.009463673,0.415241951,0.464211985,0.048970034,30.40833333
1268,940192.4194,1692599.8,940292.4194,1692499.8,35,8,6.587683002,2.137272646,-4.450410346,-0.00968893,0.258351929,0.269934976,0.011583047,33.025
1269,940192.4194,1692499.8,940292.4194,1692399.8,36,8,5.169140782,1.508913428,-3.660227316,0.00342985,0.322457715,0.371172581,0.048714865,30.18333333
1270,940192.4194,1692399.8,940292.4194,1692299.8,37,8,3.878304306,0.430863179,-3.447441122,-0.002407442,0.53329153,0.400483731,-0.132807799,27.39166667
1317,940192.4194,1687699.8,940292.4194,1687599.8,84,8,5.476188958,5.578222752,0.102033693,0.003690584,0.306513166,0.318922774,0.012409608,22.50833333
1318,940192.4194,1687599.8,940292.4194,1687499.8,85,8,1.162097031,-1.214279137,-2.376376163,-0.008972488,0.277583098,0.280859633,0.003276535,19.11666667
1319,940192.4194,1687499.8,940292.4194,1687399.8,86,8,-1.679747264,-5.255119514,-3.575372283,0.004556152,0.095943071,0.184563368,0.088620297,15.70833333
1320,940192.4194,1687399.8,940292.4194,1687299.8,87,8,-1.845361757,-5.787895298,-3.942533588,-0.058104111,0.383583462,0.548630285,0.165046823,17.94166667
1321,940192.4194,1687299.8,940292.4194,1687199.8,88,8,0.669590491,1.210885201,0.541294713,-0.04974004,0.491067112,0.587481861,0.096414749,17.50833333
1322,940192.4194,1687199.8,940292.4194,1687099.8,89,8,0.901371859,2.042836368,1.141464505,-0.02467853,0.486306834,0.522095661,0.035788827,17.54166667
1323,940192.4194,1687099.8,940292.4194,1686999.8,90,8,2.501168847,3.614204288,1.113035411,0.0583286,0.588176918,0.365615384,-0.222561534,18.425
1324,940192.4194,1686999.8,940292.4194,1686899.8,91,8,5.338716371,6.589487621,1.250771165,0.035129085,0.512677932,0.298360424,-0.214317509,18.78333333
1410,940292.4194,1693799.8,940392.4194,1693699.8,23,9,2.293632587,-2.384294351,-4.677926858,0.142864058,0.568058816,0.140677675,-0.427381142,29.25
1411,940292.4194,1693699.8,940392.4194,1693599.8,24,9,1.985414002,-2.729514307,-4.714928309,0.209972802,0.670148187,0.162135622,-0.508012565,28.375
1412,940292.4194,1693599.8,940392.4194,1693499.8,25,9,1.786626339,-2.91231513,-4.698941231,0.181454755,0.595484668,0.221008687,-0.374475981,29.125
1420,940292.4194,1692799.8,940392.4194,1692699.8,33,9,7.305019617,2.551988065,-4.753031492,-0.009935218,0.233247682,0.269223413,0.035975732,28.58333333
1421,940292.4194,1692699.8,940392.4194,1692599.8,34,9,7.306606571,2.69152241,-4.615084132,-0.001362004,0.317720124,0.351726407,0.034006283,29.48333333
