id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,Elderly_Ratio,Old_housing_Ratio,SAVI,DEM
5437,942875.9156,1691499.909,942975.9156,1691399.909,46,35,1.59086 ,3.46728 ,1.87642 ,0.08366 ,37.04426 ,20250630 ,24040810 ,24040810050102 ,7.00000 ,0.00000 ,0.176516148,39.67553191
7781,944375.9156,1688099.909,944475.9156,1687999.909,80,50,1.68044 ,3.76043 ,2.07999 ,0.00256 ,37.33740 ,20250630 ,24040570 ,24040570010403 ,13.90000 ,0.00000 ,0.260134096,56.49509804
4977,942575.9156,1691299.909,942675.9156,1691199.909,48,32,1.78611 ,3.08436 ,1.29825 ,-0.01159 ,36.66134 ,20250630 ,24040820 ,24040820050201 ,12.80000 ,0.40000 ,0.253834406,48.83941606
13328,947975.9156,1687799.909,948075.9156,1687699.909,83,86,1.82737 ,4.01862 ,2.19124 ,-0.03633 ,37.59559 ,20250630 ,24040640 ,24040640010901 ,11.40000 ,0.00000 ,0.243829441,53.22727273
8853,945075.9156,1688699.909,945175.9156,1688599.909,74,57,1.90292 ,4.10468 ,2.20177 ,-0.02479 ,37.68166 ,20250630 ,24040710 ,24040710010001 ,23.50000 ,1.50000 ,0.255393481,51.25534407
13481,948075.9156,1687899.909,948175.9156,1687799.909,82,87,1.94077 ,3.27926 ,1.33849 ,-0.04605 ,36.85623 ,20250630 ,24040640 ,24040640010801 ,5.80000 ,0.00000 ,0.208608627,52.61971831
7792,944375.9156,1686999.909,944475.9156,1686899.909,91,50,1.96586 ,6.22355 ,4.25769 ,0.00281 ,39.80053 ,20250630 ,24040590 ,24040590010007 ,43.50000 ,2.10000 ,0.256963764,51.72586873
8846,945075.9156,1689399.909,945175.9156,1689299.909,67,57,1.98578 ,3.15714 ,1.17136 ,-0.01222 ,36.73411 ,20250630 ,24040700 ,24040700020101 ,3.60000 ,0.00000 ,0.41609557,68.13207547
4357,942175.9156,1691699.909,942275.9156,1691599.909,44,28,2.00092 ,2.09755 ,0.09663 ,-0.04716 ,35.67453 ,20250630 ,24040820 ,24040820050104 ,7.30000 ,0.00000 ,0.2217645,26.93103448
7907,944475.9156,1690899.909,944575.9156,1690799.909,52,51,2.00237 ,1.88395 ,-0.11842 ,0.01676 ,35.46092 ,20250630 ,24040780 ,24040780010006 ,6.80000 ,1.40000 ,0.238819788,71.55415617
3745,941775.9156,1691299.909,941875.9156,1691199.909,48,24,2.00567 ,3.53165 ,1.52598 ,-0.01561 ,37.10862 ,20250630 ,24040820 ,24040820030106 ,3.50000 ,0.00000 ,0.342757025,22.40163934
14580,948775.9156,1685799.909,948875.9156,1685699.909,103,94,2.00602 ,2.07173 ,0.06571 ,-0.00037 ,35.64870 ,20250630 ,24040690 ,24040690020502 ,32.80000 ,0.30000 ,0.312902877,94.75431034
14557,948775.9156,1688099.909,948875.9156,1687999.909,80,94,2.01597 ,4.04521 ,2.02924 ,-0.01190 ,37.62218 ,20250630 ,24040640 ,24040640010402 ,11.70000 ,0.00000 ,0.222956738,77.52760736
12241,947275.9156,1688699.909,947375.9156,1688599.909,74,79,2.02507 ,3.05298 ,1.02791 ,-0.01003 ,36.62996 ,20250630 ,24040650 ,24040650010201 ,23.60000 ,0.50000 ,0.295960379,88.47540984
4666,942375.9156,1691599.909,942475.9156,1691499.909,45,30,2.09442 ,3.45600 ,1.36158 ,0.06988 ,37.03298 ,20250630 ,24040820 ,24040820050101 ,0.00000 ,0.00000 ,0.277629911,43.26855124
7341,944075.9156,1685899.909,944175.9156,1685799.909,102,47,2.20644 ,6.66957 ,4.46313 ,0.01677 ,40.24654 ,20250630 ,24040550 ,24040550030001 ,24.80000 ,1.90000 ,0.21119617,33.14186633
3786,941775.9156,1687199.909,941875.9156,1687099.909,89,24,2.27984 ,1.69674 ,-0.58311 ,-0.01734 ,35.27371 ,20250630 ,24040610 ,24040610020202 ,14.90000 ,0.50000 ,0.186257792,46.22222222
14262,948575.9156,1686799.909,948675.9156,1686699.909,93,92,2.30085 ,5.37505 ,3.07420 ,-0.02526 ,38.95202 ,20250630 ,24040680 ,24040680020702 ,21.40000 ,0.50000 ,0.172343451,83.0776699
13482,948075.9156,1687799.909,948175.9156,1687699.909,83,87,2.30507 ,3.87268 ,1.56761 ,-0.03605 ,37.44965 ,20250630 ,24040640 ,24040640010902 ,7.20000 ,0.00000 ,0.208212901,50.62222222
3439,941575.9156,1691099.909,941675.9156,1690999.909,50,22,2.32157 ,2.41500 ,0.09343 ,-0.02582 ,35.99198 ,20250630 ,24040820 ,24040820030201 ,4.10000 ,0.00000 ,0.373310218,21.30041152
3286,941475.9156,1690999.909,941575.9156,1690899.909,51,21,2.32317 ,2.48575 ,0.16259 ,-0.01293 ,36.06273 ,20250630 ,24040820 ,24040820030202 ,3.30000 ,0.00000 ,0.343479449,22.54591837
3629,941675.9156,1687499.909,941775.9156,1687399.909,86,23,2.36874 ,1.43514 ,-0.93360 ,-0.02197 ,35.01211 ,20250630 ,24040610 ,24040610020701 ,11.60000 ,0.00000 ,0.246024266,29.45867769
8522,944875.9156,1690999.909,944975.9156,1690899.909,51,55,2.37940 ,2.41332 ,0.03392 ,-0.02225 ,35.99029 ,20250630 ,24040780 ,24040780010601 ,18.10000 ,0.70000 ,0.29213785,82.23478261
4358,942175.9156,1691599.909,942275.9156,1691499.909,45,28,2.38490 ,3.09932 ,0.71442 ,-0.03422 ,36.67629 ,20250630 ,24040820 ,24040820050102 ,8.50000 ,0.00000 ,0.230762983,24.82857143
3900,941875.9156,1691199.909,941975.9156,1691099.909,49,25,2.45711 ,2.44921 ,-0.00791 ,-0.01718 ,36.02618 ,20250630 ,24040820 ,24040820030102 ,2.30000 ,0.00000 ,0.299939553,22.57560976
12858,947675.9156,1688599.909,947775.9156,1688499.909,75,83,2.45759 ,5.04993 ,2.59234 ,-0.02571 ,38.62690 ,20250630 ,24040650 ,24040650010801 ,22.20000 ,0.40000 ,0.212874136,80.41450777
12549,947475.9156,1688699.909,947575.9156,1688599.909,74,81,2.46134 ,4.72136 ,2.26001 ,-0.00266 ,38.29833 ,20250630 ,24040650 ,24040650010202 ,20.10000 ,0.40000 ,0.260991472,84.31111111
4664,942375.9156,1691799.909,942475.9156,1691699.909,43,30,2.48750 ,2.31726 ,-0.17024 ,-0.02381 ,35.89424 ,20250630 ,24040820 ,24040820050107 ,5.20000 ,0.00000 ,0.358341031,36.22033898
6821,943775.9156,1691699.909,943875.9156,1691599.909,44,44,2.48789 ,1.75610 ,-0.73179 ,0.01440 ,35.33308 ,20250630 ,24040810 ,24040810010305 ,4.40000 ,0.00000 ,0.298008234,49.53571429
7782,944375.9156,1687999.909,944475.9156,1687899.909,81,50,2.51720 ,3.78522 ,1.26802 ,-0.01342 ,37.36220 ,20250630 ,24040570 ,24040570010404 ,36.50000 ,0.00000 ,0.394689436,52.48792271
3594,941675.9156,1690999.909,941775.9156,1690899.909,51,23,2.51969 ,2.74007 ,0.22038 ,-0.02221 ,36.31704 ,20250630 ,24040820 ,24040820010103 ,2.30000 ,0.00000 ,0.286463673,22.06875
14728,948875.9156,1686399.909,948975.9156,1686299.909,97,95,2.56878 ,3.52394 ,0.95515 ,-0.00173 ,37.10091 ,20250630 ,24040680 ,24040680020201 ,24.50000 ,0.70000 ,0.230627495,90.48863636
3592,941675.9156,1691199.909,941775.9156,1691099.909,49,23,2.60435 ,1.74175 ,-0.86260 ,-0.03822 ,35.31872 ,20250630 ,24040820 ,24040820030101 ,2.80000 ,0.00000 ,0.366116207,20.62827225
14403,948675.9156,1688099.909,948775.9156,1687999.909,80,93,2.64201 ,5.12575 ,2.48374 ,0.00952 ,38.70273 ,20250630 ,24040640 ,24040640010401 ,11.70000 ,0.00000 ,0.196274097,74.06711409
5589,942975.9156,1691699.909,943075.9156,1691599.909,44,36,2.66229 ,3.02979 ,0.36750 ,0.00605 ,36.60676 ,20250630 ,24040810 ,24040810050903 ,5.30000 ,0.00000 ,0.247955296,48.39097744
3630,941675.9156,1687399.909,941775.9156,1687299.909,87,23,2.70184 ,2.98578 ,0.28394 ,-0.02130 ,36.56276 ,20250630 ,24040610 ,24040610020704 ,8.20000 ,0.00000 ,0.186680416,31.90291262
8676,944975.9156,1690999.909,945075.9156,1690899.909,51,56,2.70535 ,2.68038 ,-0.02496 ,-0.03020 ,36.25736 ,20250630 ,24040780 ,24040780010602 ,21.60000 ,0.60000 ,0.254786966,80.80838323
3784,941775.9156,1687399.909,941875.9156,1687299.909,87,24,2.71597 ,3.04089 ,0.32492 ,-0.01597 ,36.61787 ,20250630 ,24040610 ,24040610020703 ,6.60000 ,0.00000 ,0.167593479,36.79120879
9001,945175.9156,1689299.909,945275.9156,1689199.909,68,58,2.71837 ,4.17393 ,1.45556 ,0.00489 ,37.75091 ,20250630 ,24040700 ,24040700020102 ,5.60000 ,0.00000 ,0.268220186,59.99375
5132,942675.9156,1691199.909,942775.9156,1691099.909,49,33,2.74143 ,4.97559 ,2.23416 ,0.00806 ,38.55257 ,20250630 ,24040820 ,24040820050208 ,12.80000 ,0.60000 ,0.23967106,48.31506849
3748,941775.9156,1690999.909,941875.9156,1690899.909,51,24,2.80937 ,2.54322 ,-0.26614 ,-0.00469 ,36.12020 ,20250630 ,24040820 ,24040820010102 ,1.50000 ,0.00000 ,0.257700465,20.71014493
3940,941875.9156,1687199.909,941975.9156,1687099.909,89,25,2.82803 ,2.62673 ,-0.20130 ,-0.01365 ,36.20370 ,20250630 ,24040610 ,24040610020205 ,43.20000 ,0.50000 ,0.240031793,46.38983051
8084,944575.9156,1688599.909,944675.9156,1688499.909,75,52,2.87546 ,6.11231 ,3.23685 ,0.01341 ,39.68929 ,20250630 ,24040710 ,24040710011001 ,48.90000 ,0.40000 ,0.249928231,59.46153846
7134,943975.9156,1691199.909,944075.9156,1691099.909,49,46,2.87840 ,1.61032 ,-1.26808 ,-0.02352 ,35.18729 ,20250630 ,24040810 ,24040810010202 ,6.30000 ,0.00000 ,0.251980911,56.96907216
4512,942275.9156,1691599.909,942375.9156,1691499.909,45,29,2.87866 ,2.89732 ,0.01867 ,-0.02240 ,36.47430 ,20250630 ,24040820 ,24040820050105 ,6.80000 ,0.00000 ,0.22018516,27.57738095
8105,944575.9156,1686499.909,944675.9156,1686399.909,96,52,2.88903 ,6.53827 ,3.64924 ,0.00897 ,40.11525 ,20250630 ,24040560 ,24040560020101 ,80.20000 ,0.40000 ,0.139497081,39.38383838
9000,945175.9156,1689399.909,945275.9156,1689299.909,67,58,2.89304 ,4.56233 ,1.66929 ,0.00440 ,38.13930 ,20250630 ,24040700 ,24040700020103 ,5.10000 ,0.00000 ,0.206787351,50.14285714
12566,947475.9156,1686999.909,947575.9156,1686899.909,91,81,2.89677 ,0.93051 ,-1.96626 ,-0.00099 ,34.50748 ,20250630 ,24040620 ,24040620010005 ,52.90000 ,2.90000 ,0.340880925,57.8482024
12704,947575.9156,1688599.909,947675.9156,1688499.909,75,82,2.90284 ,5.50431 ,2.60147 ,-0.02809 ,39.08128 ,20250630 ,24040650 ,24040650010802 ,18.60000 ,0.50000 ,0.260341433,81.30128205
4056,941975.9156,1690999.909,942075.9156,1690899.909,51,26,2.95096 ,1.93819 ,-1.01277 ,-0.00373 ,35.51517 ,20250630 ,24040820 ,24040820010203 ,1.20000 ,0.00000 ,0.285344619,20.33139535
5935,943175.9156,1687899.909,943275.9156,1687799.909,82,38,2.97384 ,5.44904 ,2.47520 ,0.01781 ,39.02601 ,20250630 ,24040600 ,24040600010402 ,26.90000 ,0.50000 ,0.253841796,55.12738854
5934,943175.9156,1687999.909,943275.9156,1687899.909,81,38,2.99202 ,4.07241 ,1.08039 ,-0.01219 ,37.64938 ,20250630 ,24040600 ,24040600010603 ,8.60000 ,0.00000 ,0.189973024,47.40816327
11957,947075.9156,1686299.909,947175.9156,1686199.909,98,77,3.00905 ,4.44215 ,1.43310 ,-0.07806 ,38.01912 ,20250630 ,24040620 ,24040620010305 ,5.50000 ,0.00000 ,0.180407062,56.49751244
3783,941775.9156,1687499.909,941875.9156,1687399.909,86,24,3.02193 ,1.77234 ,-1.24959 ,-0.01932 ,35.34931 ,20250630 ,24040610 ,24040610020702 ,9.70000 ,0.00000 ,0.177225761,36.28301887
11802,946975.9156,1686399.909,947075.9156,1686299.909,97,76,3.03448 ,6.19583 ,3.16135 ,-0.07512 ,39.77280 ,20250630 ,24040620 ,24040620010302 ,15.30000 ,0.00000 ,0.203949028,52.85786802
