id,left,top,right,bottom,row_index,col_index,20R_mean,25R_mean,dRL_mean,dNB_mean,Abs_mean,BASE_DATE,ADM_CD,TOT_OA_CD,SGIS_Maste,SGIS_Mas_1,SGIS_Mas_2,SGIS_Mas_3,JOIN_CD,JOIN_KEY
48,939375.915623063,1691399.90909134,939475.915623063,1691299.90909134,47,0,,,,,,,,,,,,,,
49,939375.915623063,1691299.90909134,939475.915623063,1691199.90909134,48,0,,,,,,,,,,,,,,
50,939375.915623063,1691199.90909134,939475.915623063,1691099.90909134,49,0,,,,,,,,,,,,,,
51,939375.915623063,1691099.90909134,939475.915623063,1690999.90909134,50,0,,,,,,,,,,,,,,
52,939375.915623063,1690999.90909134,939475.915623063,1690899.90909134,51,0,,,,,,,,,,,,,,
53,939375.915623063,1690899.90909134,939475.915623063,1690799.90909134,52,0,,,,,,,,,,,,,,
54,939375.915623063,1690799.90909134,939475.915623063,1690699.90909134,53,0,,,,,,,,,,,,,,
55,939375.915623063,1690699.90909134,939475.915623063,1690599.90909134,54,0,,,,,,,,,,,,,,
56,939375.915623063,1690599.90909134,939475.915623063,1690499.90909134,55,0,,,,,,,,,,,,,,
57,939375.915623063,1690499.90909134,939475.915623063,1690399.90909134,56,0,,,,,,,,,,,,,,
58,939375.915623063,1690399.90909134,939475.915623063,1690299.90909134,57,0,,,,,,,,,,,,,,
59,939375.915623063,1690299.90909134,939475.915623063,1690199.90909134,58,0,,,,,,,,,,,,,,
60,939375.915623063,1690199.90909134,939475.915623063,1690099.90909134,59,0,,,,,,,,,,,,,,
61,939375.915623063,1690099.90909134,939475.915623063,1689999.90909134,60,0,,,,,,,,,,,,,,
62,939375.915623063,1689999.90909134,939475.915623063,1689899.90909134,61,0,,,,,,,,,,,,,,
63,939375.915623063,1689899.90909134,939475.915623063,1689799.90909134,62,0,,,,,,,,,,,,,,
64,939375.915623063,1689799.90909134,939475.915623063,1689699.90909134,63,0,,,,,,,,,,,,,,
65,939375.915623063,1689699.90909134,939475.915623063,1689599.90909134,64,0,,,,,,,,,,,,,,
66,939375.915623063,1689599.90909134,939475.915623063,1689499.90909134,65,0,,,,,,,,,,,,,,
67,939375.915623063,1689499.90909134,939475.915623063,1689399.90909134,66,0,,,,,,,,,,,,,,
68,939375.915623063,1689399.90909134,939475.915623063,1689299.90909134,67,0,,,,,,,,,,,,,,
69,939375.915623063,1689299.90909134,939475.915623063,1689199.90909134,68,0,,,,,,,,,,,,,,
70,939375.915623063,1689199.90909134,939475.915623063,1689099.90909134,69,0,,,,,,,,,,,,,,
71,939375.915623063,1689099.90909134,939475.915623063,1688999.90909134,70,0,,,,,,,,,,,,,,
72,939375.915623063,1688999.90909134,939475.915623063,1688899.90909134,71,0,,,,,,,,,,,,,,
73,939375.915623063,1688899.90909134,939475.915623063,1688799.90909134,72,0,,,,,,,,,,,,,,
74,939375.915623063,1688799.90909134,939475.915623063,1688699.90909134,73,0,,,,,,,,,,,,,,
75,939375.915623063,1688699.90909134,939475.915623063,1688599.90909134,74,0,,,,,,,,,,,,,,
76,939375.915623063,1688599.90909134,939475.915623063,1688499.90909134,75,0,,,,,,,,,,,,,,
77,939375.915623063,1688499.90909134,939475.915623063,1688399.90909134,76,0,,,,,,,,,,,,,,
78,939375.915623063,1688399.90909134,939475.915623063,1688299.90909134,77,0,,,,,,,,,,,,,,
79,939375.915623063,1688299.90909134,939475.915623063,1688199.90909134,78,0,,,,,,,,,,,,,,
80,939375.915623063,1688199.90909134,939475.915623063,1688099.90909134,79,0,,,,,,,,,,,,,,
81,939375.915623063,1688099.90909134,939475.915623063,1687999.90909134,80,0,,,,,,,,,,,,,,
82,939375.915623063,1687999.90909134,939475.915623063,1687899.90909134,81,0,,,,,,,,,,,,,,
83,939375.915623063,1687899.90909134,939475.915623063,1687799.90909134,82,0,,,,,,,,,,,,,,
84,939375.915623063,1687799.90909134,939475.915623063,1687699.90909134,83,0,,,,,,,,,,,,,,
85,939375.915623063,1687699.90909134,939475.915623063,1687599.90909134,84,0,,,,,,,,,,,,,,
86,939375.915623063,1687599.90909134,939475.915623063,1687499.90909134,85,0,,,,,,,,,,,,,,
87,939375.915623063,1687499.90909134,939475.915623063,1687399.90909134,86,0,,,,,,,,,,,,,,
88,939375.915623063,1687399.90909134,939475.915623063,1687299.90909134,87,0,,,,,,,,,,,,,,
89,939375.915623063,1687299.90909134,939475.915623063,1687199.90909134,88,0,,,,,,,,,,,,,,
90,939375.915623063,1687199.90909134,939475.915623063,1687099.90909134,89,0,,,,,,,,,,,,,,
91,939375.915623063,1687099.90909134,939475.915623063,1686999.90909134,90,0,,,,,,,,,,,,,,
92,939375.915623063,1686999.90909134,939475.915623063,1686899.90909134,91,0,,,,,,,,,,,,,,
93,939375.915623063,1686899.90909134,939475.915623063,1686799.90909134,92,0,,,,,,,,,,,,,,
94,939375.915623063,1686799.90909134,939475.915623063,1686699.90909134,93,0,,,,,,,,,,,,,,
95,939375.915623063,1686699.90909134,939475.915623063,1686599.90909134,94,0,,,,,,,,,,,,,,
96,939375.915623063,1686599.90909134,939475.915623063,1686499.90909134,95,0,,,,,,,,,,,,,,
97,939375.915623063,1686499.90909134,939475.915623063,1686399.90909134,96,0,,,,,,,,,,,,,,
98,939375.915623063,1686399.90909134,939475.915623063,1686299.90909134,97,0,,,,,,,,,,,,,,
99,939375.915623063,1686299.90909134,939475.915623063,1686199.90909134,98,0,,,,,,,,,,,,,,
100,939375.915623063,1686199.90909134,939475.915623063,1686099.90909134,99,0,,,,,,,,,,,,,,
101,939375.915623063,1686099.90909134,939475.915623063,1685999.90909134,100,0,,,,,,,,,,,,,,
102,939375.915623063,1685999.90909134,939475.915623063,1685899.90909134,101,0,,,,,,,,,,,,,,
103,939375.915623063,1685899.90909134,939475.915623063,1685799.90909134,102,0,,,,,,,,,,,,,,
104,939375.915623063,1685799.90909134,939475.915623063,1685699.90909134,103,0,,,,,,,,,,,,,,
105,939375.915623063,1685699.90909134,939475.915623063,1685599.90909134,104,0,,,,,,,,,,,,,,
106,939375.915623063,1685599.90909134,939475.915623063,1685499.90909134,105,0,,,,,,,,,,,,,,
107,939375.915623063,1685499.90909134,939475.915623063,1685399.90909134,106,0,,,,,,,,,,,,,,
108,939375.915623063,1685399.90909134,939475.915623063,1685299.90909134,107,0,,,,,,,,,,,,,,
109,939375.915623063,1685299.90909134,939475.915623063,1685199.90909134,108,0,,,,,,,,,,,,,,
110,939375.915623063,1685199.90909134,939475.915623063,1685099.90909134,109,0,,,,,,,,,,,,,,
111,939375.915623063,1685099.90909134,939475.915623063,1684999.90909134,110,0,,,,,,,,,,,,,,
112,939375.915623063,1684999.90909134,939475.915623063,1684899.90909134,111,0,,,,,,,,,,,,,,
